Set Name,Three-Letter Name,Release Date
Limited Edition Alpha,LEA,"August 5, 1993"
Limited Edition Beta,LEB,N/A
Unlimited Edition,2ED,N/A
Revised Edition[II],3ED,N/A
Fourth Edition,4ED,N/A
Fifth Edition,5ED,"March 24, 1997"
Classic Sixth Edition,6ED,"April 28, 1999"
Seventh Edition,7ED,"April 11, 2001"
Eighth Edition,8ED,"July 28, 2003"
Ninth Edition,9ED,"July 29, 2005"
Tenth Edition,10E,"July 13, 2007"
Magic 2010,M10,"July 11, 2009"
Magic 2011,M11,"July 10, 2010"
Magic 2012,M12,"July 9, 2011"
Magic 2013,M13,"July 7, 2012"
Magic 2014,M14,"July 13, 2013"
Magic 2015,M15,"July 12, 2014"
Magic Origins,ORI,"July 11, 2015"
Core Set 2019,M19,"July 7, 2018"
Core Set 2020,M20,"July 5, 2019"
Core Set 2021,M21,"June 26, 2020"
Arabian Nights,ARN,N/A
Antiquities,ATQ,N/A
Legends,LEG,N/A
The Dark,DRK,N/A
Fallen Empires,FEM,N/A
Ice Age,ICE,N/A
Homelands[IX],HML,"October 14, 1995"
Alliances,ALL,"May 18, 1996"
Mirage,MIR,"September 21, 1996"
Visions,VIS,"January 11, 1997"
Weatherlight,WTH,"May 31, 1997"
Tempest,TMP,"October 4, 1997"
Stronghold,STH,"February 21, 1998"
Exodus,EXO,"June 6, 1998"
Urza's Saga,USG,"October 3, 1998"
Urza's Legacy,ULG,"February 6, 1999"
Urza's Destiny,UDS,"May 29, 1999"
Mercadian Masques,MMQ,"September 25, 1999"
Nemesis,NEM,"February 5, 2000"
Prophecy,PCY,"May 27, 2000"
Invasion,INV,"September 23, 2000"
Planeshift,PLS,"January 27, 2001"
Apocalypse,APC,"May 26, 2001"
Odyssey,ODY,"September 22, 2001"
Torment,TOR,"January 26, 2002"
Judgment,JUD,"May 18, 2002"
Onslaught,ONS,"September 28, 2002"
Legions,LGN,"January 25, 2003"
Scourge,SCG,"May 17, 2003"
Mirrodin,MRD,"September 20, 2003"
Darksteel,DST,"January 24, 2004"
Fifth Dawn,5DN,"May 22, 2004"
Champions of Kamigawa,CHK,"September 18, 2004"
Betrayers of Kamigawa,BOK,"January 22, 2005"
Saviors of Kamigawa,SOK,"May 21, 2005"
Ravnica: City of Guilds,RAV,"September 24, 2005"
Guildpact,GPT,"January 21, 2006"
Dissension,DIS,"April 22, 2006"
Coldsnap[IX],CSP,"July 8, 2006"
Time Spiral,TSP/TSB,"September 23, 2006"
Planar Chaos,PLC,"January 20, 2007"
Future Sight,FUT,"April 21, 2007"
Lorwyn,LRW,"September 29, 2007"
Morningtide,MOR,"January 19, 2008"
Shadowmoor,SHM,"April 19, 2008"
Eventide,EVE,"July 12, 2008"
Shards of Alara,ALA,"September 27, 2008"
Conflux,CON,"January 31, 2009"
Alara Reborn,ARB,"April 25, 2009"
Zendikar,ZEN,"September 26, 2009"
Worldwake,WWK,"January 30, 2010"
Rise of the Eldrazi,ROE,"April 17, 2010"
Scars of Mirrodin,SOM,"September 25, 2010"
Mirrodin Besieged,MBS,"January 29, 2011"
New Phyrexia,NPH,"May 7, 2011"
Innistrad,ISD,"September 24, 2011"
Dark Ascension,DKA,"January 28, 2012"
Avacyn Restored,AVR,"April 28, 2012"
Return to Ravnica,RTR,"September 29, 2012"
Gatecrash,GTC,"January 26, 2013"
Dragon's Maze,DGM,"April 27, 2013"
Theros,THS,"September 21, 2013"
Born of the Gods,BNG,"February 1, 2014"
Journey into Nyx,JOU,"April 26, 2014"
Khans of Tarkir,KTK,"September 20, 2014"
Fate Reforged,FRF,"January 17, 2015"
Dragons of Tarkir,DTK,"March 21, 2015"
Battle for Zendikar,BFZ,"September 26, 2015"
Oath of the Gatewatch,OGW,"January 16, 2016"
Shadows over Innistrad,SOI,"April 2, 2016"
Eldritch Moon,EMN,"July 16, 2016"
Kaladesh,KLD,"September 24, 2016"
Aether Revolt,AER,"January 14, 2017"
Amonkhet,AKH,"April 22, 2017"
Hour of Devastation,HOU,"July 8, 2017"
Ixalan,XLN,"September 23, 2017"
Rivals of Ixalan,RIX,"January 13, 2018"
Dominaria,DOM,"April 21, 2018"
Guilds of Ravnica,GRN,"September 29, 2018"
Ravnica Allegiance,RNA,"January 19, 2019"
War of the Spark[132],WAR,"April 27, 2019"
Throne of Eldraine,ELD,"September 28, 2019"
Theros Beyond Death,THB,"January 17, 2020"
Ikoria: Lair of Behemoths,IKO,"April 17, 2020"
Zendikar Rising,ZNR,"September 18, 2020"
Kaldheim,KHM,"January 29, 2021"
Strixhaven: School of Mages,STX,"April 16, 2021"
Dungeons & Dragons: Adventures in the Forgotten Realms,AFR,"July 23, 2021"
Innistrad: Midnight Hunt,MID,"September 24, 2021"
Innistrad: Crimson Vow,VOW,"November 19, 2021"
Kamigawa: Neon Dynasty,NEO,"February 18, 2022"
Streets of New Capenna,SNC,"April 22, 2022"
Dominaria United,DMU,"September 2, 2022"
The Brothers' War,BRO,"November 18, 2022"
Phyrexia: All Will Be One,ONE,"February 10, 2023"
March of the Machine,MOM,"April 21, 2023"
March of the Machine: The Aftermath,MAT,"May 12, 2023"
Wilds of Eldraine,WOE,"September 8, 2023"
The Lost Caverns of Ixalan,LCI,"November 17, 2023"
Murders at Karlov Manor,MKM,"February 9, 2024"
Outlaws of Thunder Junction,OTJ,"April 12, 2024"
Bloomburrow,BLB,"August 2, 2024"
Duskmourn: House of Horror,unrevealed,N/A
"""Death race"" set",unrevealed,N/A
Return to Tarkir,unrevealed,N/A
Space opera set,unrevealed,N/A
Return to Lorwyn,unrevealed,N/A
Return to Arcavios,unrevealed,N/A
Event set,unrevealed,N/A
Unknown,unrevealed,N/A
Unknown,unrevealed,N/A
Unknown,unrevealed,N/A
Modern Horizons,MH1,"June 14, 2019"
Modern Horizons 2,MH2,"June 18, 2021"
Modern Horizons 3,MH3,"June 14, 2024"
The Lord of the Rings: Tales of Middle-earth,LTR,"June 23, 2023"
Portal,POR,N/A
Portal Second Age,P02,N/A
Portal Three Kingdoms,PTK,N/A
Starter 1999,S99,N/A
Starter 2000,S00,N/A
Global Series: Jiang Yanggu & Mu Yanling,GS1,"June 22, 2018"
Chronicles[XVII],CHR,N/A
Rivals Quick Start Set,none,N/A
Multiverse Gift Box,none,N/A
Anthologies,ATH,N/A
Battle Royale Box Set,BRB,"November 12, 1999"
Beatdown Box Set,BTD,N/A
Deckmasters: Garfield vs. Finkel,DKM,"September 17, 2001"
Premium Foil Booster,none,"January 8, 2010"
Duels of the Planeswalkers (decks),DPA,"June 4, 2010"
Modern Event Deck,MD1,"May 30, 2014"
Mystery  Booster,MB1,"March 13, 2020"
Time Spiral Remastered,TSR,"March 19, 2021"
Dominaria Remastered,DMR,"January 13, 2023"
Ravnica Remastered,RVR,"January 12, 2024"
Renaissance(French/German),none,N/A
Rinascimento(Italian),none,N/A
Duel Decks: Elves vs. Goblins,EVG,"November 16, 2007"
Duel Decks: Jace vs. Chandra,DD2,"November 7, 2008"
Duel Decks: Divine vs. Demonic,DDC,"April 10, 2009"
Duel Decks: Garruk vs. Liliana,DDD,"October 30, 2009"
Duel Decks: Phyrexia vs. the Coalition,DDE,"March 19, 2010"
Duel Decks: Elspeth vs. Tezzeret,DDF,"September 3, 2010"
Duel Decks: Knights vs. Dragons,DDG,"April 1, 2011"
Duel Decks: Ajani vs. Nicol Bolas,DDH,"September 2, 2011"
Duel Decks: Venser vs. Koth,DDI,"March 30, 2012"
Duel Decks: Izzet vs. Golgari,DDJ,"September 7, 2012"
Duel Decks: Sorin vs. Tibalt,DDK,"March 15, 2013"
