Release Date,Name,Code
1993-08,Alpha (Limited Edition),LEA
1993-10,Beta (Limited Edition),LEB
1993-12,Unlimited Edition,2ED
1993-12,Arabian Nights,ARN
1994-03,Antiquities,ATQ
1994-04,Revised Edition,3ED
1994-06,Legends,LEG
1994-08,The Dark,DRK
1994-11,Fallen Empires,FEM
1995-05,Fourth Edition,4ED
1995-06,Ice Age,ICE
1995-07,Chronicles,CHR
1995-08,Renaissance,
1995-10,Homelands,HML
1996-06,Alliances,ALL
1996-10,Mirage,MIR
1997-02,Visions,VIS
1997-03,Fifth Edition,5ED
1997-05,Portal,POR
1997-06,Weatherlight,WTH
1997-10,Tempest,TMP
1998-02,Stronghold,STH
1998-06,Exodus,EXO
1998-06,Portal Second Age,P02
1998-08,Unglued,UGL
1998-10,Urza's Saga,USG
1998-11,Anthologies,ATH
1999-02,Urza's Legacy,ULG
1999-04,Sixth Edition,6ED
1999-05,Portal Three Kingdoms,PTK
1999-06,Urza's Destiny,UDS
1999-08,Starter 1999,S99
1999-09,Mercadian Masques,MMQ
1999-11,Battle Royale,BRB
2000-02,Nemesis,NEM
2000-04,Starter 2000,S00
2000-06,Prophecy,PCY
2000-09,Invasion,INV
2000-10,Beatdown,BTD
2001-01,Planeshift,PLS
2001-04,Seventh Edition,7ED
2001-05,Apocalypse,APC
2001-10,Odyssey,ODY
2001-12,Deckmasters 2001,DKM
2002-02,Torment,TOR
2002-05,Judgment,JUD
2002-10,Onslaught,ONS
2003-01,Legions,LGN
2003-05,Scourge,SCG
2003-07,Eighth Edition,8ED
2003-10,Mirrodin,MRD
2004-02,Darksteel,DST
2004-06,Fifth Dawn,5DN
2004-10,Champions of Kamigawa,CHK
2004-11,Unhinged,UNH
2005-02,Betrayers of Kamigawa,BOK
2005-06,Saviors of Kamigawa,SOK
2005-07,Ninth Edition,9ED
2005-10,Ravnica: City of Guilds,RAV
2006-02,Guildpact,GPT
2006-05,Dissension,DIS
2006-07,Coldsnap,CSP
2006-10,Time Spiral,TSP
2007-02,Planar Chaos,PLC
2007-05,Future Sight,FUT
2007-07,Tenth Edition,10E
2007-09,Masters Edition,MED
2007-10,Lorwyn,LRW
2007-11,Duel Decks: Elves vs. Goblins,EVG
2008-02,Morningtide,MOR
2008-05,Shadowmoor,SHM
2008-06,Eventide,EVE
2008-08,From the Vault: Dragons,DRB
2008-09,Masters Edition II,ME2
2008-10,Shards of Alara,ALA
2008-11,Duel Decks: Jace vs. Chandra,DD2
2009-02,Conflux,CON
2009-04,Duel Decks: Divine vs. Demonic,DDC
2009-04,Alara Reborn,ARB
2009-07,Magic 2010,M10
2009-08,Commander Theme Decks,TD0
2009-08,From the Vault: Exiled,V09
2009-09,Planechase,HOP
2009-09,Masters Edition III,ME3
2009-10,Zendikar,ZEN
2009-10,Duel Decks: Garruk vs. Liliana,DDD
2009-11,Premium Deck Series: Slivers,H09
2010-02,Worldwake,WWK
2010-03,Duel Decks: Phyrexia vs. The Coalition,DDE
2010-04,Rise of the Eldrazi,ROE
2010-06,Duels of the Planeswalkers,DPA
2010-06,Archenemy,ARC
2010-07,Magic 2011,M11
2010-08,From the Vault: Relics,V10
2010-09,Duel Decks: Elspeth vs. Tezzeret,DDF
2010-10,Scars of Mirrodin,SOM
2010-11,Premium Deck Series: Fire & Lightning,PD2
2011-01,Masters Edition IV,ME4
2011-02,Mirrodin Besieged,MBS
2011-04,Duel Decks: Knights vs. Dragons,DDG
2011-05,New Phyrexia,NPH
2011-06,Commander,CMD
2011-07,Magic 2012,M12
2011-08,From the Vault: Legends,V11
2011-09,Duel Decks: Ajani vs. Nicol Bolas,DDH
2011-09,Innistrad,ISD
2011-11,Premium Deck Series: Graveborn,PD3
2012-02,Dark Ascension,DKA
2012-03,Duel Decks: Venser vs. Koth,DDI
2012-05,Avacyn Restored,AVR
2012-05,Planechase 2012,PC2
2012-07,Magic 2013,M13
2012-08,From the Vault: Realms,V12
2012-09,Duel Decks: Izzet vs. Golgari,DDJ
2012-10,Return to Ravnica,RTR
2012-11,Commander's Arsenal,CM1
2013-01,Duel Decks: Mirrodin Pure vs. New Phyrexia,TD2
2013-02,Gatecrash,GTC
2013-03,Duel Decks: Sorin vs. Tibalt,DDK
2013-05,Dragon's Maze,DGM
2013-06,Modern Masters,MMA
2013-07,Magic 2014,M14
2013-08,From the Vault: Twenty,V13
2013-09,Duel Decks: Heroes vs. Monsters,DDL
2013-09,Theros,THS
2013-11,Commander 2013,C13
2014-02,Born of the Gods,BNG
2014-03,Duel Decks: Jace vs. Vraska,DDM
2014-05,Journey into Nyx,JOU
2014-05,Modern Event Deck,MD1
2014-06,Conspiracy,CNS
2014-06,Vintage Masters,VMA
2014-07,Magic 2015,M15
2014-08,From the Vault: Annihilation,V14
2014-10,Duel Decks: Speed vs. Cunning,DDN
2014-10,Khans of Tarkir,KTK
2014-11,Commander 2014,C14
2014-12,Duel Decks Anthology,DD3
2015-01,Fate Reforged,FRF
2015-02,Duel Decks: Elspeth vs. Kiora,DDO
